,Generation,Best Fitness,Worst Fitness,Average Fitness,Median Fitness
0,0,1.0,9.0,4.04,4.0
1,1,1.0,9.0,4.1,4.0
2,2,1.0,7.0,4.26,4.0
3,3,1.0,8.0,4.14,4.0
4,4,1.0,9.0,4.42,4.0
5,5,1.0,8.0,4.33,4.0
6,6,1.0,9.0,4.39,4.0
7,7,1.0,7.0,4.45,4.5
8,8,1.0,7.0,4.31,4.0
9,9,0.0,8.0,4.47,4.5
10,10,1.0,9.0,4.76,5.0
11,11,1.0,9.0,4.64,4.0
12,12,1.0,9.0,4.59,4.0
13,13,2.0,9.0,4.65,4.0
14,14,1.0,8.0,4.62,5.0
15,15,1.0,8.0,4.66,5.0
16,16,1.0,8.0,4.57,5.0
17,17,1.0,8.0,4.7,5.0
18,18,1.0,9.0,4.69,5.0
19,19,2.0,9.0,4.77,5.0
20,20,1.0,8.0,4.38,4.0
21,21,1.0,8.0,4.31,4.0
22,22,0.0,8.0,4.61,4.0
23,23,2.0,9.0,4.76,4.5
24,24,1.0,7.0,4.48,4.0
25,25,1.0,7.0,4.45,4.0
26,26,1.0,7.0,4.47,4.5
27,27,1.0,8.0,4.32,4.0
28,28,0.0,8.0,4.38,4.0
29,29,1.0,8.0,4.38,4.0
30,30,1.0,10.0,4.53,5.0
31,31,1.0,7.0,4.25,4.0
32,32,1.0,7.0,4.32,4.0
33,33,1.0,8.0,4.6,5.0
34,34,1.0,8.0,4.5,5.0
35,35,1.0,8.0,4.6,5.0
36,36,1.0,9.0,4.8,5.0
37,37,2.0,9.0,5.0,5.0
38,38,2.0,10.0,4.9,5.0
39,39,2.0,10.0,4.86,5.0
40,40,0.0,10.0,4.8,5.0
41,41,1.0,9.0,4.62,5.0
42,42,2.0,8.0,4.53,4.0
43,43,2.0,10.0,4.69,5.0
44,44,2.0,10.0,4.6,4.0
45,45,1.0,9.0,4.68,4.0
46,46,1.0,9.0,4.69,5.0
47,47,1.0,8.0,4.76,5.0
48,48,2.0,10.0,4.84,5.0
49,49,1.0,8.0,4.72,4.0
50,50,0.0,8.0,4.83,5.0
51,51,2.0,8.0,4.61,5.0
52,52,1.0,8.0,4.39,4.0
53,53,2.0,7.0,4.37,4.5
54,54,2.0,7.0,4.5,5.0
55,55,2.0,8.0,4.6,5.0
56,56,1.0,9.0,4.57,4.0
57,57,1.0,9.0,4.59,4.0
58,58,1.0,10.0,4.53,5.0
59,59,2.0,10.0,4.97,5.0
60,60,1.0,10.0,4.85,5.0
61,61,2.0,10.0,4.77,5.0
62,62,2.0,10.0,4.77,5.0
63,63,2.0,10.0,4.58,5.0
64,64,1.0,8.0,4.39,4.0
65,65,1.0,8.0,4.5,5.0
66,66,2.0,8.0,4.69,5.0
67,67,1.0,8.0,4.27,4.0
68,68,1.0,7.0,4.47,4.0
69,69,1.0,8.0,4.32,4.0
70,70,2.0,8.0,4.46,4.0
71,71,1.0,9.0,4.52,4.0
72,72,1.0,9.0,4.67,5.0
73,73,2.0,8.0,4.85,5.0
74,74,2.0,9.0,5.1,5.0
75,75,0.0,9.0,4.85,5.0
76,76,1.0,8.0,4.58,5.0
77,77,2.0,8.0,4.46,5.0
78,78,2.0,8.0,4.5,5.0
79,79,0.0,9.0,4.54,5.0
80,80,2.0,9.0,4.59,4.0
81,81,1.0,9.0,4.35,4.0
82,82,1.0,9.0,4.53,4.0
83,83,1.0,8.0,4.56,5.0
84,84,1.0,9.0,4.83,5.0
85,85,2.0,9.0,4.92,5.0
86,86,1.0,9.0,5.02,5.0
87,87,1.0,9.0,4.94,5.0
88,88,2.0,8.0,4.88,5.0
89,89,2.0,10.0,4.69,5.0
90,90,1.0,10.0,4.81,5.0
91,91,2.0,9.0,4.72,5.0
92,92,1.0,9.0,4.81,5.0
93,93,1.0,9.0,4.84,5.0
94,94,0.0,9.0,5.02,5.0
95,95,1.0,9.0,5.1,5.0
96,96,1.0,9.0,5.16,5.0
97,97,2.0,9.0,5.27,5.0
98,98,0.0,9.0,5.06,5.0
99,99,2.0,9.0,4.94,5.0
100,100,2.0,9.0,4.81,5.0
