,Generation,Best Fitness,Worst Fitness,Average Fitness,Median Fitness
0,0,0.50,0.10,0.22,0.20
1,1,0.50,0.10,0.20,0.17
2,2,0.50,0.11,0.19,0.17
3,3,0.50,0.10,0.20,0.17
4,4,0.50,0.11,0.21,0.17
5,5,0.50,0.11,0.21,0.20
6,6,0.50,0.10,0.23,0.20
7,7,0.50,0.11,0.25,0.20
8,8,0.50,0.14,0.30,0.25
9,9,0.50,0.13,0.32,0.25
10,10,0.50,0.13,0.36,0.33
11,11,0.50,0.11,0.38,0.50
12,12,0.50,0.14,0.42,0.50
13,13,0.50,0.20,0.43,0.50
14,14,0.50,0.17,0.47,0.50
15,15,0.50,0.20,0.49,0.50
16,16,0.50,0.20,0.49,0.50
17,17,0.50,0.25,0.49,0.50
18,18,0.50,0.25,0.49,0.50
19,19,0.50,0.50,0.50,0.50
20,20,0.50,0.50,0.50,0.50
21,21,0.50,0.25,0.50,0.50
22,22,0.50,0.50,0.50,0.50
23,23,0.50,0.50,0.50,0.50
24,24,0.50,0.50,0.50,0.50
25,25,0.50,0.50,0.50,0.50
26,26,0.50,0.50,0.50,0.50
27,27,0.50,0.50,0.50,0.50
28,28,0.50,0.50,0.50,0.50
29,29,0.50,0.50,0.50,0.50
30,30,0.50,0.50,0.50,0.50
31,31,0.50,0.50,0.50,0.50
32,32,0.50,0.50,0.50,0.50
33,33,0.50,0.50,0.50,0.50
34,34,0.50,0.50,0.50,0.50
35,35,0.50,0.50,0.50,0.50
36,36,0.50,0.50,0.50,0.50
37,37,0.50,0.50,0.50,0.50
38,38,0.50,0.50,0.50,0.50
39,39,0.50,0.50,0.50,0.50
40,40,0.50,0.50,0.50,0.50
41,41,0.50,0.50,0.50,0.50
42,42,0.50,0.50,0.50,0.50
43,43,0.50,0.50,0.50,0.50
44,44,0.50,0.50,0.50,0.50
45,45,0.50,0.50,0.50,0.50
46,46,0.50,0.50,0.50,0.50
47,47,0.50,0.25,0.50,0.50
48,48,0.50,0.33,0.50,0.50
49,49,0.50,0.33,0.50,0.50
50,50,0.50,0.50,0.50,0.50
51,51,0.50,0.50,0.50,0.50
52,52,0.50,0.50,0.50,0.50
53,53,0.50,0.50,0.50,0.50
54,54,0.50,0.50,0.50,0.50
55,55,0.50,0.50,0.50,0.50
56,56,0.50,0.50,0.50,0.50
57,57,0.50,0.50,0.50,0.50
58,58,0.50,0.50,0.50,0.50
59,59,0.50,0.50,0.50,0.50
60,60,0.50,0.50,0.50,0.50
61,61,0.50,0.50,0.50,0.50
62,62,0.50,0.50,0.50,0.50
63,63,0.50,0.20,0.50,0.50
64,64,0.50,0.50,0.50,0.50
65,65,0.50,0.50,0.50,0.50
66,66,0.50,0.50,0.50,0.50
67,67,0.50,0.50,0.50,0.50
68,68,0.50,0.50,0.50,0.50
69,69,0.50,0.50,0.50,0.50
70,70,0.50,0.33,0.50,0.50
71,71,0.50,0.33,0.50,0.50
72,72,0.50,0.33,0.50,0.50
73,73,0.50,0.50,0.50,0.50
74,74,0.50,0.50,0.50,0.50
75,75,0.50,0.50,0.50,0.50
76,76,0.50,0.50,0.50,0.50
77,77,0.50,0.50,0.50,0.50
78,78,0.50,0.50,0.50,0.50
79,79,0.50,0.33,0.50,0.50
80,80,0.50,0.33,0.50,0.50
81,81,0.50,0.50,0.50,0.50
82,82,0.50,0.50,0.50,0.50
83,83,0.50,0.25,0.50,0.50
84,84,0.50,0.25,0.50,0.50
85,85,0.50,0.50,0.50,0.50
86,86,0.50,0.50,0.50,0.50
87,87,0.50,0.50,0.50,0.50
88,88,0.50,0.50,0.50,0.50
89,89,0.50,0.50,0.50,0.50
90,90,0.50,0.50,0.50,0.50
91,91,0.50,0.50,0.50,0.50
92,92,0.50,0.33,0.50,0.50
93,93,0.50,0.33,0.50,0.50
94,94,0.50,0.33,0.50,0.50
95,95,0.50,0.33,0.50,0.50
96,96,0.50,0.33,0.50,0.50
97,97,0.50,0.50,0.50,0.50
98,98,0.50,0.50,0.50,0.50
99,99,0.50,0.50,0.50,0.50
100,100,0.50,0.50,0.50,0.50
