,Generation,Best Fitness,Worst Fitness,Average Fitness,Median Fitness
0,0,1.0,9.0,4.04,4.0
1,1,1.0,9.0,4.35,4.0
2,2,2.0,9.0,4.79,5.0
3,3,2.0,10.0,4.83,5.0
4,4,1.0,9.0,4.7,5.0
5,5,1.0,9.0,4.97,5.0
6,6,0.0,9.0,5.08,5.0
7,7,2.0,9.0,5.11,5.0
8,8,2.0,9.0,4.99,5.0
9,9,3.0,9.0,5.18,5.0
10,10,2.0,9.0,5.31,5.0
11,11,3.0,9.0,5.7,5.0
12,12,1.0,8.0,5.48,5.0
13,13,3.0,8.0,5.4,5.0
14,14,2.0,8.0,5.43,5.0
15,15,2.0,8.0,5.58,5.0
16,16,2.0,8.0,5.78,6.0
17,17,1.0,10.0,5.87,6.0
18,18,3.0,8.0,6.08,6.0
19,19,3.0,8.0,6.11,6.0
20,20,3.0,9.0,6.2,6.0
21,21,3.0,9.0,6.27,7.0
22,22,3.0,9.0,6.27,7.0
23,23,4.0,9.0,6.55,7.0
24,24,3.0,10.0,6.9,7.0
25,25,3.0,10.0,6.95,7.0
26,26,3.0,10.0,6.84,7.0
27,27,4.0,10.0,7.14,7.0
28,28,4.0,10.0,7.29,7.0
29,29,3.0,10.0,7.05,7.0
30,30,3.0,10.0,6.75,7.0
31,31,3.0,10.0,6.72,7.0
32,32,4.0,10.0,7.15,7.0
33,33,3.0,10.0,7.3,7.5
34,34,3.0,10.0,7.21,7.0
35,35,3.0,10.0,7.49,8.0
36,36,3.0,10.0,7.54,8.0
37,37,4.0,10.0,7.85,8.0
38,38,4.0,10.0,8.04,8.0
39,39,5.0,10.0,7.84,8.0
40,40,5.0,10.0,7.98,8.0
41,41,5.0,10.0,8.13,8.0
42,42,4.0,10.0,8.28,8.0
43,43,4.0,10.0,8.5,9.0
44,44,5.0,10.0,8.38,8.0
45,45,4.0,10.0,8.41,9.0
46,46,4.0,10.0,8.36,8.0
47,47,6.0,10.0,8.59,9.0
48,48,6.0,10.0,8.51,9.0
49,49,6.0,10.0,8.63,9.0
50,50,6.0,10.0,8.78,9.0
51,51,6.0,10.0,9.01,9.0
52,52,6.0,10.0,9.0,9.0
53,53,6.0,10.0,9.07,9.0
54,54,6.0,10.0,9.11,9.0
55,55,6.0,10.0,8.93,9.0
56,56,6.0,10.0,8.85,9.0
57,57,6.0,10.0,9.0,9.0
58,58,6.0,10.0,8.84,9.0
59,59,6.0,10.0,9.05,9.0
60,60,6.0,10.0,9.22,10.0
61,61,6.0,10.0,9.24,10.0
62,62,6.0,10.0,9.33,10.0
63,63,6.0,10.0,9.48,10.0
64,64,6.0,10.0,9.5,10.0
65,65,6.0,10.0,9.5,10.0
66,66,6.0,10.0,9.62,10.0
67,67,7.0,10.0,9.77,10.0
68,68,7.0,10.0,9.82,10.0
69,69,7.0,10.0,9.9,10.0
70,70,8.0,10.0,9.94,10.0
71,71,8.0,10.0,9.94,10.0
72,72,8.0,10.0,9.96,10.0
73,73,8.0,10.0,9.96,10.0
74,74,8.0,10.0,9.98,10.0
75,75,7.0,10.0,9.97,10.0
76,76,10.0,10.0,10.0,10.0
77,77,10.0,10.0,10.0,10.0
78,78,10.0,10.0,10.0,10.0
79,79,10.0,10.0,10.0,10.0
80,80,10.0,10.0,10.0,10.0
81,81,10.0,10.0,10.0,10.0
82,82,10.0,10.0,10.0,10.0
83,83,10.0,10.0,10.0,10.0
84,84,10.0,10.0,10.0,10.0
85,85,10.0,10.0,10.0,10.0
86,86,8.0,10.0,9.98,10.0
87,87,10.0,10.0,10.0,10.0
88,88,10.0,10.0,10.0,10.0
89,89,10.0,10.0,10.0,10.0
90,90,10.0,10.0,10.0,10.0
91,91,10.0,10.0,10.0,10.0
92,92,10.0,10.0,10.0,10.0
93,93,10.0,10.0,10.0,10.0
94,94,10.0,10.0,10.0,10.0
95,95,10.0,10.0,10.0,10.0
96,96,10.0,10.0,10.0,10.0
97,97,10.0,10.0,10.0,10.0
98,98,10.0,10.0,10.0,10.0
99,99,10.0,10.0,10.0,10.0
100,100,10.0,10.0,10.0,10.0
