,Generation,Best Fitness,Worst Fitness,Average Fitness,Median Fitness
0,0,1.0,9.0,4.04,4.0
1,1,1.0,9.0,4.2,4.0
2,2,1.0,9.0,4.61,4.5
3,3,0.0,10.0,4.81,5.0
4,4,1.0,10.0,4.98,5.0
5,5,0.0,9.0,5.12,5.0
6,6,2.0,10.0,5.48,5.0
7,7,1.0,10.0,5.6,5.0
8,8,2.0,10.0,6.05,6.0
9,9,2.0,10.0,6.81,7.0
10,10,3.0,10.0,7.05,7.0
11,11,2.0,10.0,7.22,7.0
12,12,3.0,10.0,7.21,7.0
13,13,3.0,10.0,7.58,9.0
14,14,4.0,10.0,7.64,9.0
15,15,4.0,10.0,8.04,9.0
16,16,4.0,10.0,8.35,9.0
17,17,3.0,10.0,8.37,9.0
18,18,4.0,10.0,8.42,9.0
19,19,4.0,10.0,8.64,9.0
20,20,6.0,10.0,8.75,9.0
21,21,5.0,10.0,8.7,9.0
22,22,5.0,10.0,8.74,9.0
23,23,3.0,10.0,8.77,9.0
24,24,6.0,10.0,8.98,9.0
25,25,6.0,10.0,8.9,9.0
26,26,6.0,10.0,8.99,9.0
27,27,7.0,10.0,9.0,9.0
28,28,7.0,10.0,8.99,9.0
29,29,6.0,10.0,8.97,9.0
30,30,6.0,10.0,8.93,9.0
31,31,6.0,10.0,8.81,9.0
32,32,5.0,10.0,8.83,9.0
33,33,6.0,10.0,9.02,9.0
34,34,6.0,10.0,9.04,9.0
35,35,6.0,10.0,8.92,9.0
36,36,5.0,10.0,8.88,9.0
37,37,6.0,10.0,9.1,9.0
38,38,6.0,10.0,9.25,9.0
39,39,7.0,10.0,9.33,9.0
40,40,6.0,10.0,9.33,9.0
41,41,6.0,10.0,9.34,9.0
42,42,6.0,10.0,9.19,9.0
43,43,6.0,10.0,9.16,9.0
44,44,6.0,10.0,9.24,9.0
45,45,6.0,10.0,9.25,9.0
46,46,6.0,10.0,9.33,9.0
47,47,5.0,10.0,9.25,9.0
48,48,9.0,10.0,9.43,9.0
49,49,6.0,10.0,9.41,9.0
50,50,6.0,10.0,9.41,9.0
51,51,6.0,10.0,9.45,9.0
52,52,6.0,10.0,9.36,9.0
53,53,6.0,10.0,9.34,9.0
54,54,6.0,10.0,9.36,9.0
55,55,9.0,10.0,9.49,9.0
56,56,9.0,10.0,9.51,10.0
57,57,5.0,10.0,9.57,10.0
58,58,7.0,10.0,9.72,10.0
59,59,7.0,10.0,9.67,10.0
60,60,5.0,10.0,9.64,10.0
61,61,7.0,10.0,9.75,10.0
62,62,6.0,10.0,9.74,10.0
63,63,5.0,10.0,9.74,10.0
64,64,6.0,10.0,9.72,10.0
65,65,6.0,10.0,9.71,10.0
66,66,5.0,10.0,9.59,10.0
67,67,6.0,10.0,9.7,10.0
68,68,6.0,10.0,9.56,10.0
69,69,5.0,10.0,9.44,10.0
70,70,5.0,10.0,9.46,10.0
71,71,6.0,10.0,9.62,10.0
72,72,6.0,10.0,9.76,10.0
73,73,6.0,10.0,9.73,10.0
74,74,6.0,10.0,9.86,10.0
75,75,6.0,10.0,9.68,10.0
76,76,5.0,10.0,9.66,10.0
77,77,6.0,10.0,9.83,10.0
78,78,6.0,10.0,9.75,10.0
79,79,6.0,10.0,9.76,10.0
80,80,6.0,10.0,9.85,10.0
81,81,8.0,10.0,9.91,10.0
82,82,9.0,10.0,9.93,10.0
83,83,9.0,10.0,9.94,10.0
84,84,9.0,10.0,9.99,10.0
85,85,7.0,10.0,9.93,10.0
86,86,7.0,10.0,9.95,10.0
87,87,9.0,10.0,9.98,10.0
88,88,9.0,10.0,9.96,10.0
89,89,6.0,10.0,9.88,10.0
90,90,9.0,10.0,9.96,10.0
91,91,7.0,10.0,9.92,10.0
92,92,7.0,10.0,9.9,10.0
93,93,6.0,10.0,9.89,10.0
94,94,6.0,10.0,9.91,10.0
95,95,6.0,10.0,9.87,10.0
96,96,6.0,10.0,9.85,10.0
97,97,6.0,10.0,9.93,10.0
98,98,6.0,10.0,9.9,10.0
99,99,6.0,10.0,9.82,10.0
100,100,6.0,10.0,9.79,10.0
